feature_id,feature_name,spine_commitment,test_case,verification_owner,status
F01,crucible run on the fixture floor produces a survival report with no setup/cloud/account,C1,tests/test_crucible.py::test_naive_springs_all_eight,CI (pytest),verified
F02,Config-driven run (crucible.yaml) resolves fixture/endpoint/callable without code changes,C1,tests/test_crucible.py::test_load_config_fixture_and_endpoint,CI (pytest),verified
F03,Deterministic adversary: same seed produces byte-identical trace,C2,tests/test_crucible.py::test_deterministic_same_seed_identical_trace,CI (pytest),verified
F04,No LLM on the trap side (scripted villain state machine),C2,tests/test_crucible.py::test_frozen_at_eight,CI (pytest),verified
F05,Callable-agent path is never told which reply is safe (adversary independent of AUT),C2,tests/test_crucible.py::test_callable_is_not_told_the_safe_answer,CI (pytest),verified
F06,Gold (hardened) reference agent produces a fully deterministic trace,C2,tests/test_crucible.py::test_gold_agent_deterministic_trace,CI (pytest),verified
F07,Verdict is pass/fail plus replayable trace only -- no score or advice surface,C3,tests/test_crucible.py::test_render_report_fail_and_replay,CI (pytest),verified
F08,Report groups results into Agent-side / Protocol-side sections with a plain-language narrative,C3,tests/test_crucible.py::test_report_groups_and_meter,CI (pytest),verified
F09,Report renders plain-language trace narrative and scope disclosure (no debugger-style advice),C3,tests/test_crucible.py::test_report_renders_plain_language_trace_and_scope,CI (pytest),verified
F10,Pass/fail badge artifact (survived vs sprung),C3,tests/test_crucible.py::test_badge_survived_and_sprung,CI (pytest),verified
F11,Machine-readable summary JSON mirrors the fitness-gate verdict,C3,tests/test_crucible.py::test_summary_json_and_line,CI (pytest),verified
F12,"Eight frozen tripwires, exactly eight, no rubric",C4,tests/test_crucible.py::test_frozen_at_eight,CI (pytest),verified
F13,"Naive agent springs all eight tripwires (differential floor, unsafe side)",C4,tests/test_crucible.py::test_naive_springs_all_eight,CI (pytest),verified
F14,"Hardened agent holds all eight tripwires (differential floor, safe side)",C4,tests/test_crucible.py::test_hardened_holds_all_eight,CI (pytest),verified
F15,Subset arming honestly reports NOT_ARMED for tripwires not exercised,C4,tests/test_crucible.py::test_prose_response_is_not_armed,CI (pytest),verified
F16,Villain override still springs its tripwire (per-trap predicate integrity),C4,tests/test_crucible.py::test_villain_override_still_springs,CI (pytest),verified
F17,Gold agent holds all eight via mapped tool calls (not self-report),C4,tests/test_crucible.py::test_gold_agent_holds_all_eight_via_mapped_tools,CI (pytest),verified
F18,Live A2A structured response classified into a real SPRUNG/HELD verdict,C5,tests/test_crucible.py::test_a2a_structured_response_gets_a_real_verdict,CI (pytest),verified
F19,Live A2A prose response stays honestly NOT_ARMED (never a faked verdict),C5,tests/test_crucible.py::test_a2a_prose_response_stays_not_armed,CI (pytest),verified
F20,MCP structured content classified via the same seam as A2A,C5,tests/test_crucible.py::test_mcp_structured_content_classified,CI (pytest),verified
F21,MCP seam shares the client abstraction with A2A behind one adapter,C5,tests/test_crucible.py::test_mcp_seam,CI (pytest),verified
F22,Cassette records a live run once and replays it byte-for-byte,C5,tests/test_crucible.py::test_cassette_records_then_replays,CI (pytest),verified
F23,Live client replays from cassette with zero network calls,C5,tests/test_crucible.py::test_live_client_replays_from_cassette_no_network,CI (pytest),verified
F24,End-to-end live A2A record-then-offline-replay through the a2a_stub_server demo,C5,tests/test_crucible.py::test_live_a2a_end_to_end_record_then_offline_replay,CI (pytest),verified
F25,"Unreachable endpoint is a connection error (exit 2), never a survival verdict",C5,tests/test_crucible.py::test_load_config_fixture_and_endpoint,CI (pytest),verified
F26,"Villain is one file, discovered not registered, credit preserved",C6,tests/test_crucible.py::test_villain_override_still_springs,CI (pytest),verified
F27,Villain packs (grouped multi-file domain collections beyond one-file villains),C6,TODO,maintainer,planned
F28,N-trials runner: fail-closed if a tripwire leaks in any trial on a stochastic agent,C7,tests/test_crucible.py::test_stochastic_agent_end_to_end_fail_closed,CI (pytest),verified
F29,"Per-trap prevalence (""sprang in k of N"") reported as evidence, never a score",C7,tests/test_crucible.py::test_aggregate_trials_fail_closed_and_prevalence,CI (pytest),verified
